rank,track_id,pair_id,version,title,content_type,language,secondary_language,genre,subgenre,target_country,target_market_scope,lyric_theme,mood,original_opportunity_group,market_score,market_match_level,market_score_source,metadata_score,lyric_score,audio_score,pre_release_score,final_score,confidence,tier,recommendation,missing_fields,score_status,score_method,refresh_required,audio_path,lyrics_path
18,P08B,P08,B,Run Into the Light,vocal,English,,EDM / Electronic,Chill Electronic,US,Global / US,Mental reset,Calm / Uplifting,Mid,74.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,100.0,,,77.9,77.9,0.7,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P08B.wav,data/lyrics/P08B.txt
19,P15B,P15,B,Lose Control Again,vocal,English,,EDM / Electronic,EDM / Electronic,,,Nightlife energy / attraction,High-energy / Euphoric,Mid,74.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,75.4,75.4,0.5,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P15B.wav,data/lyrics/P15B.txt
20,P16B,P16,B,Where the Night Begins,vocal,English,,EDM / Electronic,EDM / Electronic,,,Nightlife escape / beginning,Atmospheric / Energetic,Mid,74.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,75.4,75.4,0.5,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P16B.wav,data/lyrics/P16B.txt
21,P17B,P17,B,Carry Me Through,vocal,English,,Devotional,Devotional,,,Faith / support through difficulty,Hopeful / Gentle,Mid,74.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,75.4,75.4,0.5,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P17B.wav,data/lyrics/P17B.txt
22,P18B,P18,B,I Still Believe,vocal,English,,Devotional,Devotional,,,Hope / belief,Uplifting / Reflective,Mid,74.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,75.4,75.4,0.5,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P18B.wav,data/lyrics/P18B.txt
23,P22B,P22,B,Stronger Than Yesterday,vocal,English,,EDM / Electronic,EDM / Electronic,,,Resilience / motivation,Powerful / Uplifting,Mid,74.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,75.4,75.4,0.5,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P22B.wav,data/lyrics/P22B.txt
24,P23B,P23,B,Lead Me Home,vocal,English,,Devotional,Devotional,,,Spiritual calm / guidance,Peaceful / Hopeful,Mid,74.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,75.4,75.4,0.5,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P23B.wav,data/lyrics/P23B.txt
25,P15A,P15,A,Pulse of the Night,instrumental,,,EDM / Electronic,EDM / Electronic,,,,High-energy / Euphoric,Mid,74.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,74.57,74.57,0.5,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P15A.wav,
26,P16A,P16,A,Beyond the Strobe Lights,instrumental,,,EDM / Electronic,EDM / Electronic,,,,Atmospheric / Energetic,Mid,74.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,74.57,74.57,0.5,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P16A.wav,
27,P17A,P17,A,Grace in the Morning,instrumental,,,Devotional,Devotional,,,,Hopeful / Gentle,Mid,74.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,74.57,74.57,0.5,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P17A.wav,
28,P18A,P18,A,Light Through the Window,instrumental,,,Devotional,Devotional,,,,Uplifting / Reflective,Mid,74.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,74.57,74.57,0.5,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P18A.wav,
29,P22A,P22,A,One More Round,instrumental,,,EDM / Electronic,EDM / Electronic,,,,Powerful / Uplifting,Mid,74.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,74.57,74.57,0.5,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P22A.wav,
30,P23A,P23,A,Still Waters,instrumental,,,Devotional,Devotional,,,,Peaceful / Hopeful,Mid,74.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,74.57,74.57,0.5,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P23A.wav,
31,P01A,P01,A,After Midnight,instrumental,,,R&B / Hip-Hop,Alternative R&B,US,US,,Moody / Intimate,Pilot / Pending,68.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,100.0,,,72.8,72.8,0.7,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P01A.wav,
32,P01B,P01,B,Stay Until the Lights Go Down,vocal,English,,R&B / Hip-Hop,Alternative R&B,US,US,Late-night romance,Moody / Intimate,Pilot / Pending,68.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,100.0,,,72.8,72.8,0.7,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P01B.wav,data/lyrics/P01B.txt
33,P07A,P07,A,Slow Motion Lights,instrumental,,,R&B / Hip-Hop,Latin R&B,MX,Mexico,,Intimate / Late-night,Pilot / Pending,68.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,100.0,,,72.8,72.8,0.7,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P07A.wav,
34,P07B,P07,B,Stay Until Morning,vocal,English,Spanish,R&B / Hip-Hop,Latin R&B,MX,Mexico,Undefined relationship,Intimate / Late-night,Pilot / Pending,68.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,100.0,,,72.8,72.8,0.7,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P07B.wav,data/lyrics/P07B.txt
35,P05B,P05,B,Call Me When the City Sleeps,vocal,English,,R&B / Hip-Hop,R&B / Hip-Hop,,,Late-night city connection,Moody / Intimate,Pilot / Pending,68.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,70.3,70.3,0.5,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P05B.wav,data/lyrics/P05B.txt
36,P05A,P05,A,No Signal Downtown,instrumental,,,R&B / Hip-Hop,R&B / Hip-Hop,,,,Moody / Intimate,Pilot / Pending,68.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,69.47,69.47,0.5,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P05A.wav,
37,P02A,P02,A,Sunrise on Calle Luna,instrumental,,,Pop,Latin Pop,MX,Mexico,,Bright / Energetic,Low,58.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,100.0,,,64.3,64.3,0.7,Low,Hold or regenerate after market validation; use as lower-opportunity control,actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P02A.wav,
38,P02B,P02,B,Dancing Into Daylight,vocal,English,Spanish,Pop,Latin Pop,MX,Mexico,Sunrise / celebration,Bright / Energetic,Low,58.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,100.0,,,64.3,64.3,0.7,Low,Hold or regenerate after market validation; use as lower-opportunity control,actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P02B.wav,data/lyrics/P02B.txt
39,P06A,P06,A,Polaroid Summer,instrumental,,,Pop,Indie Pop,US,US,,Warm / Reflective,Low,58.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,100.0,,,64.3,64.3,0.7,Low,Hold or regenerate after market validation; use as lower-opportunity control,actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P06A.wav,
40,P06B,P06,B,Back to July,vocal,English,,Pop,Indie Pop,US,US,Quiet confidence,Warm / Reflective,Low,58.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,100.0,,,64.3,64.3,0.7,Low,Hold or regenerate after market validation; use as lower-opportunity control,actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P06B.wav,data/lyrics/P06B.txt
41,P09A,P09,A,Daydream Frequency,instrumental,,,Pop,Acoustic Pop,US,US,,Nostalgic / Warm,Low,58.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,100.0,,,64.3,64.3,0.7,Low,Hold or regenerate after market validation; use as lower-opportunity control,actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P09A.wav,
42,P09B,P09,B,Somewhere in the Daylight,vocal,English,,Pop,Acoustic Pop,US,US,Hometown nostalgia,Nostalgic / Warm,Low,58.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,100.0,,,64.3,64.3,0.7,Low,Hold or regenerate after market validation; use as lower-opportunity control,actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P09B.wav,data/lyrics/P09B.txt
43,P10A,P10,A,Coffee Before Goodbye,instrumental,,,Pop,Dance Pop,ES,Spain / Global,,Energetic / Liberating,Low,58.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,100.0,,,64.3,64.3,0.7,Low,Hold or regenerate after market validation; use as lower-opportunity control,actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P10A.wav,
44,P10B,P10,B,One More Morning,vocal,English,Spanish,Pop,Dance Pop,ES,Spain / Global,Freedom after breakup,Energetic / Liberating,Low,58.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,100.0,,,64.3,64.3,0.7,Low,Hold or regenerate after market validation; use as lower-opportunity control,actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P10B.wav,data/lyrics/P10B.txt
45,P03B,P03,B,Meet Me by the Coast,vocal,English,,Pop,Pop,,,Coastal summer / carefree travel,Sunny / Nostalgic,Low,58.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,61.8,61.8,0.5,Low,Hold or regenerate after market validation; use as lower-opportunity control,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P03B.wav,data/lyrics/P03B.txt
46,P24B,P24,B,Sunday With You,vocal,English,,Bossa Nova,Bossa Nova,,,Relaxed Sunday romance,Warm / Relaxed,Low,58.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,61.8,61.8,0.5,Low,Hold or regenerate after market validation; use as lower-opportunity control,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P24B.wav,data/lyrics/P24B.txt
47,P25B,P25,B,Words I Never Sent,vocal,English,,Lo-fi,Lo-fi,,,Late-night study / unsent feelings,Calm / Reflective,Low,58.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,61.8,61.8,0.5,Low,Hold or regenerate after market validation; use as lower-opportunity control,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P25B.wav,data/lyrics/P25B.txt
48,P03A,P03,A,Summer Without Maps,instrumental,,,Pop,Pop,,,,Sunny / Nostalgic,Low,58.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,60.97,60.97,0.5,Low,Hold or regenerate after market validation; use as lower-opportunity control,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P03A.wav,
49,P24A,P24,A,Slow Sunday,instrumental,,,Bossa Nova,Bossa Nova,,,,Warm / Relaxed,Low,58.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,60.97,60.97,0.5,Low,Hold or regenerate after market validation; use as lower-opportunity control,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P24A.wav,
50,P25A,P25,A,2AM Notes,instrumental,,,Lo-fi,Lo-fi,,,,Calm / Reflective,Low,58.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,60.97,60.97,0.5,Low,Hold or regenerate after market validation; use as lower-opportunity control,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P25A.wav,
