track_id,pair_id,version,title,content_type,has_lyrics,primary_language,secondary_language,genre,subgenre,lyric_theme,mood,target_country,target_market_scope,opportunity_group,market_opportunity_score,lyrics_path,audio_path,suno_url,selected_for_release,title_source,metadata_source,notes
P06A,P06,A,Polaroid Summer,instrumental,No,,,Pop,Indie Pop,,Warm / Reflective,US,US,Low,,,data/audio/P06A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,CONFIRMED_FROM_PRIOR_PLAN,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P06B,P06,B,Back to July,vocal,Yes,English,,Pop,Indie Pop,Quiet confidence,Warm / Reflective,US,US,Low,,data/lyrics/P06B.txt,data/audio/P06B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,CONFIRMED_FROM_PRIOR_PLAN,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P07A,P07,A,Slow Motion Lights,instrumental,No,,,R&B / Hip-Hop,Latin R&B,,Intimate / Late-night,MX,Mexico,Pilot / Pending,,,data/audio/P07A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,CONFIRMED_FROM_PRIOR_PLAN,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P07B,P07,B,Stay Until Morning,vocal,Yes,English,Spanish,R&B / Hip-Hop,Latin R&B,Undefined relationship,Intimate / Late-night,MX,Mexico,Pilot / Pending,,data/lyrics/P07B.txt,data/audio/P07B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,CONFIRMED_FROM_PRIOR_PLAN,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P08A,P08,A,Electric Horizon,instrumental,No,,,EDM / Electronic,Chill Electronic,,Calm / Uplifting,US,Global / US,Mid,,,data/audio/P08A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,CONFIRMED_FROM_PRIOR_PLAN,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P08B,P08,B,Run Into the Light,vocal,Yes,English,,EDM / Electronic,Chill Electronic,Mental reset,Calm / Uplifting,US,Global / US,Mid,,data/lyrics/P08B.txt,data/audio/P08B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,CONFIRMED_FROM_PRIOR_PLAN,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P09A,P09,A,Daydream Frequency,instrumental,No,,,Pop,Acoustic Pop,,Nostalgic / Warm,US,US,Low,,,data/audio/P09A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,CONFIRMED_FROM_PRIOR_PLAN,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P09B,P09,B,Somewhere in the Daylight,vocal,Yes,English,,Pop,Acoustic Pop,Hometown nostalgia,Nostalgic / Warm,US,US,Low,,data/lyrics/P09B.txt,data/audio/P09B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,CONFIRMED_FROM_PRIOR_PLAN,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P10A,P10,A,Coffee Before Goodbye,instrumental,No,,,Pop,Dance Pop,,Energetic / Liberating,ES,Spain / Global,Low,,,data/audio/P10A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,CONFIRMED_FROM_PRIOR_PLAN,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P10B,P10,B,One More Morning,vocal,Yes,English,Spanish,Pop,Dance Pop,Freedom after breakup,Energetic / Liberating,ES,Spain / Global,Low,,data/lyrics/P10B.txt,data/audio/P10B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,CONFIRMED_FROM_PRIOR_PLAN,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P11A,P11,A,Neon Boulevard,instrumental,No,,,City Pop,City Pop,,Energetic / Romantic,,,High,,,data/audio/P11A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P11B,P11,B,Drive With Me Tonight,vocal,Yes,English,,City Pop,City Pop,Night drive / city romance,Energetic / Romantic,,,High,,data/lyrics/P11B.txt,data/audio/P11B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P12A,P12,A,Midnight Vending Machine,instrumental,No,,,City Pop,City Pop,,Neon / Bittersweet,,,High,,,data/audio/P12A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P12B,P12,B,"Blue Lights, Red Hearts",vocal,Yes,English,,City Pop,City Pop,Midnight city romance,Neon / Bittersweet,,,High,,data/lyrics/P12B.txt,data/audio/P12B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P13A,P13,A,Pacific City Lights,instrumental,No,,,City Pop,City Pop,,Dreamy / Romantic,,,High,,,data/audio/P13A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P13B,P13,B,Meet Me Under the Skyline,vocal,Yes,English,,City Pop,City Pop,Skyline romance,Dreamy / Romantic,,,High,,data/lyrics/P13B.txt,data/audio/P13B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P14A,P14,A,Rain Over Shibuya,instrumental,No,,,City Pop,City Pop,,Melancholic / Cinematic,,,High,,,data/audio/P14A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P14B,P14,B,You Left With the Rain,vocal,Yes,English,,City Pop,City Pop,Rainy breakup memory,Melancholic / Cinematic,,,High,,data/lyrics/P14B.txt,data/audio/P14B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P15A,P15,A,Pulse of the Night,instrumental,No,,,EDM / Electronic,EDM / Electronic,,High-energy / Euphoric,,,Mid,,,data/audio/P15A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P15B,P15,B,Lose Control Again,vocal,Yes,English,,EDM / Electronic,EDM / Electronic,Nightlife energy / attraction,High-energy / Euphoric,,,Mid,,data/lyrics/P15B.txt,data/audio/P15B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P16A,P16,A,Beyond the Strobe Lights,instrumental,No,,,EDM / Electronic,EDM / Electronic,,Atmospheric / Energetic,,,Mid,,,data/audio/P16A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P16B,P16,B,Where the Night Begins,vocal,Yes,English,,EDM / Electronic,EDM / Electronic,Nightlife escape / beginning,Atmospheric / Energetic,,,Mid,,data/lyrics/P16B.txt,data/audio/P16B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P17A,P17,A,Grace in the Morning,instrumental,No,,,Devotional,Devotional,,Hopeful / Gentle,,,Mid,,,data/audio/P17A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P17B,P17,B,Carry Me Through,vocal,Yes,English,,Devotional,Devotional,Faith / support through difficulty,Hopeful / Gentle,,,Mid,,data/lyrics/P17B.txt,data/audio/P17B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P18A,P18,A,Light Through the Window,instrumental,No,,,Devotional,Devotional,,Uplifting / Reflective,,,Mid,,,data/audio/P18A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P18B,P18,B,I Still Believe,vocal,Yes,English,,Devotional,Devotional,Hope / belief,Uplifting / Reflective,,,Mid,,data/lyrics/P18B.txt,data/audio/P18B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P19A,P19,A,Neon Arcade,instrumental,No,,,City Pop,City Pop,,Playful / Neon,,,High,,,data/audio/P19A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P19B,P19,B,Player Two,vocal,Yes,English,,City Pop,City Pop,Arcade connection / playful romance,Playful / Neon,,,High,,data/lyrics/P19B.txt,data/audio/P19B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P20A,P20,A,Last Train Home,instrumental,No,,,City Pop,City Pop,,Nostalgic / Bittersweet,,,High,,,data/audio/P20A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P20B,P20,B,Memories on the Platform,vocal,Yes,English,,City Pop,City Pop,Train-station memory / nostalgia,Nostalgic / Bittersweet,,,High,,data/lyrics/P20B.txt,data/audio/P20B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P21A,P21,A,Rooftop Goodbye,instrumental,No,,,City Pop,City Pop,,Reflective / Romantic,,,High,,,data/audio/P21A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P21B,P21,B,Before the City Wakes,vocal,Yes,English,,City Pop,City Pop,Goodbye before dawn,Reflective / Romantic,,,High,,data/lyrics/P21B.txt,data/audio/P21B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P22A,P22,A,One More Round,instrumental,No,,,EDM / Electronic,EDM / Electronic,,Powerful / Uplifting,,,Mid,,,data/audio/P22A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P22B,P22,B,Stronger Than Yesterday,vocal,Yes,English,,EDM / Electronic,EDM / Electronic,Resilience / motivation,Powerful / Uplifting,,,Mid,,data/lyrics/P22B.txt,data/audio/P22B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P23A,P23,A,Still Waters,instrumental,No,,,Devotional,Devotional,,Peaceful / Hopeful,,,Mid,,,data/audio/P23A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P23B,P23,B,Lead Me Home,vocal,Yes,English,,Devotional,Devotional,Spiritual calm / guidance,Peaceful / Hopeful,,,Mid,,data/lyrics/P23B.txt,data/audio/P23B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P24A,P24,A,Slow Sunday,instrumental,No,,,Bossa Nova,Bossa Nova,,Warm / Relaxed,,,Low,,,data/audio/P24A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P24B,P24,B,Sunday With You,vocal,Yes,English,,Bossa Nova,Bossa Nova,Relaxed Sunday romance,Warm / Relaxed,,,Low,,data/lyrics/P24B.txt,data/audio/P24B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P25A,P25,A,2AM Notes,instrumental,No,,,Lo-fi,Lo-fi,,Calm / Reflective,,,Low,,,data/audio/P25A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,CONFIRMED_FROM_PRIOR_PLAN,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P25B,P25,B,Words I Never Sent,vocal,Yes,English,,Lo-fi,Lo-fi,Late-night study / unsent feelings,Calm / Reflective,,,Low,,data/lyrics/P25B.txt,data/audio/P25B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,CONFIRMED_FROM_PRIOR_PLAN,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
